latent,layers,roc_auc,pr_auc
128,3,0.8377298820586778,0.6325593768446411
64,3,0.8375265010281933,0.6292054195392079
64,2,0.8366111952165689,0.6298416402208586
32,3,0.8344127760648125,0.6236587022250102
64,4,0.8338316473515116,0.6198260534654843
16,3,0.8261941223028975,0.6078051950039999
