trip_instance_id,recon_mse,y
2026-03-20_1348037_U_29,0.4968303143978119,0
2026-03-20_1348037_U_30,0.2999919354915619,0
2026-03-20_1348037_U_33,0.3903958797454834,0
2026-03-20_1348037_U_39,0.603370726108551,0
2026-03-20_1348037_U_41,0.4347856044769287,0
2026-03-20_1348037_U_42,0.35549724102020264,0
2026-03-20_1348037_U_46,0.5110390782356262,0
2026-03-20_1348037_U_48,0.4275716543197632,0
2026-03-20_1348037_U_49,0.8710522055625916,0
2026-03-20_1348037_U_50,0.410469651222229,0
2026-03-20_1348037_U_52,0.468282014131546,0
2026-03-20_1349260_U_20,0.2160102128982544,0
2026-03-20_1349260_U_21,0.29304346442222595,0
2026-03-20_1349260_U_22,0.9779703617095947,0
2026-03-20_1349260_U_24,0.17682431638240814,0
2026-03-20_1349260_U_25,0.26219260692596436,0
2026-03-20_1349260_U_26,1.5917590856552124,1
2026-03-20_1349260_U_28,0.21025778353214264,0
2026-03-20_1349260_U_29,0.17661018669605255,0
2026-03-20_1349260_U_30,0.8112732172012329,1
2026-03-20_1349260_U_32,0.16786646842956543,0
2026-03-20_1349260_U_33,0.16302356123924255,0
2026-03-20_1349260_U_34,0.19002468883991241,0
2026-03-20_1349260_U_36,1.4065896272659302,0
2026-03-20_1359254_U_14,0.22879661619663239,1
2026-03-20_1359254_U_29,0.3975292146205902,0
2026-03-20_1359254_U_30,0.1951664835214615,1
2026-03-20_1359254_U_41,0.178133025765419,1
2026-03-20_1359254_U_42,0.5863534808158875,1
2026-03-20_1359254_U_48,0.1970479041337967,0
2026-03-20_1359254_U_59,0.15720239281654358,1
2026-03-20_1359254_U_68,0.2536325454711914,0
2026-03-20_1359254_U_69,0.29933324456214905,1
2026-03-20_1359254_U_70,0.18525193631649017,1
2026-03-20_1359254_U_73,0.295401930809021,1
2026-03-20_1359254_U_74,0.2695854604244232,0
2026-03-20_1359254_U_75,0.3016892075538635,1
2026-03-20_1359254_U_77,0.18696480989456177,0
2026-03-20_1359254_U_78,0.24853229522705078,1
2026-03-20_1359254_U_8,0.17770540714263916,1
2026-03-20_1359254_U_9,0.415283203125,0
2026-03-20_1390072_U_11,0.22132152318954468,0
2026-03-20_1390072_U_16,0.3848738968372345,1
2026-03-20_1390072_U_20,0.1432817131280899,0
2026-03-20_1390072_U_21,0.31932494044303894,0
2026-03-20_1390072_U_22,0.16158908605575562,0
2026-03-20_1390072_U_23,0.2085762917995453,1
2026-03-20_1390072_U_25,0.2021869421005249,0
2026-03-20_1390072_U_26,0.1442105621099472,0
2026-03-20_1390072_U_27,0.18889200687408447,0
2026-03-20_1390072_U_28,0.34238624572753906,0
2026-03-20_1390072_U_9,0.28006747364997864,1
2026-03-20_1407494_U_25,0.5507552623748779,1
2026-03-20_1407494_U_31,0.6446245908737183,1
2026-03-20_1407494_U_32,0.37166014313697815,0
2026-03-20_1407494_U_37,0.3792392611503601,0
2026-03-20_1407495_U_10,0.9223626255989075,0
2026-03-20_1407495_U_11,0.22725212574005127,0
2026-03-20_1407495_U_19,0.25896549224853516,0
2026-03-20_1407495_U_20,0.18709437549114227,0
2026-03-20_1407495_U_21,0.24137981235980988,1
2026-03-20_1407495_U_22,0.4796871840953827,0
2026-03-20_1407495_U_23,0.40080323815345764,1
2026-03-20_1407495_U_24,0.2532269060611725,0
2026-03-20_1407495_U_26,0.3861501216888428,1
2026-03-20_1407495_U_27,0.4813663959503174,1
2026-03-20_1429985_U_104,0.19520975649356842,0
2026-03-20_1429985_U_117,0.18588614463806152,1
2026-03-20_1429985_U_118,0.28673437237739563,0
2026-03-20_1429985_U_33,0.20207278430461884,0
2026-03-20_1429985_U_38,0.19607381522655487,0
2026-03-20_1429985_U_73,0.27038830518722534,1
2026-03-20_1429985_U_99,0.1697188764810562,1
2026-03-20_1431265_U_100,0.18396572768688202,0
2026-03-20_1431265_U_101,0.20253358781337738,0
2026-03-20_1431265_U_102,0.24674558639526367,0
2026-03-20_1431265_U_105,0.22457298636436462,0
2026-03-20_1431265_U_117,0.17873121798038483,0
2026-03-20_1431265_U_118,0.22179456055164337,0
2026-03-20_1431265_U_119,0.2830437123775482,1
2026-03-20_1431265_U_121,0.28270334005355835,0
2026-03-20_1431265_U_124,0.2475360631942749,1
2026-03-20_1431265_U_125,0.3171406388282776,1
2026-03-20_1431265_U_130,0.16694529354572296,1
2026-03-20_1431265_U_133,0.23286239802837372,0
2026-03-20_1431265_U_135,0.21376100182533264,1
2026-03-20_1431265_U_137,0.11618456989526749,0
2026-03-20_1431265_U_138,0.23502694070339203,1
2026-03-20_1431265_U_142,0.10312685370445251,0
2026-03-20_1431265_U_143,0.1925928145647049,0
2026-03-20_1431265_U_144,0.14271040260791779,1
2026-03-20_1431265_U_145,0.20118498802185059,1
2026-03-20_1431265_U_148,0.13399948179721832,0
2026-03-20_1431265_U_149,0.22447098791599274,0
2026-03-20_1431265_U_150,0.24079138040542603,0
2026-03-20_1431265_U_152,0.21671521663665771,1
2026-03-20_1431265_U_155,0.21405428647994995,0
2026-03-20_1431265_U_157,0.27505210041999817,1
2026-03-20_1431265_U_160,0.1800795942544937,0
2026-03-20_1431265_U_161,0.1693175584077835,1
2026-03-20_1431265_U_164,0.3269099295139313,0
2026-03-20_1431265_U_165,0.40828052163124084,1
2026-03-20_1431265_U_166,0.43258988857269287,1
2026-03-20_1431265_U_167,0.1586235910654068,0
2026-03-20_1431265_U_168,0.2798830568790436,0
2026-03-20_1431265_U_169,0.19040219485759735,0
2026-03-20_1431265_U_170,0.28797808289527893,0
2026-03-20_1431265_U_171,0.5730606913566589,1
2026-03-20_1431265_U_172,0.43528956174850464,0
2026-03-20_1431265_U_46,0.22879521548748016,0
2026-03-20_1431265_U_47,0.27163735032081604,1
2026-03-20_1431265_U_57,0.43739399313926697,1
2026-03-20_1431265_U_58,0.1973697692155838,0
2026-03-20_1431265_U_59,0.17852072417736053,0
2026-03-20_1431265_U_60,0.15717248618602753,1
2026-03-20_1431265_U_70,0.2623418867588043,0
2026-03-20_1431265_U_71,0.2703085243701935,0
2026-03-20_1431265_U_72,0.3132210671901703,0
2026-03-20_1431265_U_78,0.2684834599494934,1
2026-03-20_1431265_U_88,0.168844535946846,1
2026-03-20_1431265_U_89,0.20660412311553955,1
2026-03-20_1431265_U_90,0.28087118268013,1
2026-03-20_1431265_U_93,0.1848207265138626,0
2026-03-20_1431265_U_99,0.13683158159255981,0
2026-03-20_1439975_U_100,0.35420551896095276,0
2026-03-20_1439975_U_101,0.49456116557121277,0
2026-03-20_1439975_U_19,0.22297652065753937,1
2026-03-20_1439975_U_23,0.3357914388179779,1
2026-03-20_1439975_U_40,0.2455003261566162,1
2026-03-20_1439975_U_41,0.26889416575431824,1
2026-03-20_1439975_U_44,0.23605334758758545,1
2026-03-20_1439975_U_52,0.2579858601093292,1
2026-03-20_1439975_U_60,0.21799294650554657,1
2026-03-20_1439975_U_63,0.13805817067623138,1
2026-03-20_1439975_U_65,0.17429406940937042,0
2026-03-20_1439975_U_67,0.27302148938179016,1
2026-03-20_1439975_U_69,0.20653927326202393,0
2026-03-20_1439975_U_71,0.38785338401794434,1
2026-03-20_1439975_U_72,0.24126727879047394,1
2026-03-20_1439975_U_76,0.3680262565612793,0
2026-03-20_1439975_U_77,0.19895203411579132,1
2026-03-20_1439975_U_84,0.30603405833244324,1
2026-03-20_1439975_U_86,0.3052903711795807,0
2026-03-20_1439975_U_88,0.28452953696250916,1
2026-03-20_1439975_U_92,0.3343733549118042,1
2026-03-20_1439975_U_97,0.2341224104166031,1
2026-03-20_1439975_U_99,0.378424733877182,0
2026-03-20_1441389_U_12,0.660850465297699,1
2026-03-20_1441389_U_15,2.4996771812438965,0
2026-03-20_1441389_U_18,2.702482223510742,0
2026-03-20_1441389_U_19,2.3973443508148193,0
2026-03-20_1441389_U_20,2.1388354301452637,0
2026-03-20_1441389_U_21,2.78109073638916,0
2026-03-20_1441389_U_22,2.6047544479370117,0
2026-03-20_1474792_U_19,0.4201889932155609,1
2026-03-20_1474792_U_21,0.32010191679000854,1
2026-03-20_1474792_U_23,0.2349720150232315,0
2026-03-20_1474792_U_29,0.2273281365633011,0
2026-03-20_1474792_U_30,0.3695320188999176,0
2026-03-20_1474792_U_31,0.2425011396408081,0
2026-03-20_1474792_U_32,0.31617483496665955,0
2026-03-20_1474792_U_34,0.1814785599708557,0
2026-03-20_1474792_U_35,0.30918869376182556,0
2026-03-20_1474792_U_36,0.2324804812669754,0
2026-03-20_1474792_U_37,0.24988146126270294,0
2026-03-20_1474792_U_38,0.3340100646018982,0
2026-03-20_1474792_U_39,0.21951860189437866,0
2026-03-20_1474793_U_3,0.24808456003665924,0
2026-03-20_1474793_U_4,0.16052722930908203,1
2026-03-20_1476582_U_10,0.4833957254886627,0
2026-03-20_1476582_U_11,0.40572965145111084,0
2026-03-20_1476582_U_16,0.4538388252258301,0
2026-03-20_1476582_U_20,0.43918049335479736,0
2026-03-20_1476582_U_21,0.3897552788257599,0
2026-03-20_1476582_U_24,0.4021414816379547,0
2026-03-20_1476582_U_25,0.3442956507205963,1
2026-03-20_1476582_U_28,0.32783517241477966,1
2026-03-20_1476582_U_3,0.4352778196334839,1
2026-03-20_1476582_U_30,0.28696727752685547,0
2026-03-20_1476582_U_32,0.7225348353385925,0
2026-03-20_1476582_U_35,0.4217018783092499,0
2026-03-20_1476582_U_36,0.6303977966308594,0
2026-03-20_1476582_U_37,0.3233600854873657,0
2026-03-20_1476582_U_4,0.36904072761535645,0
2026-03-20_1476582_U_5,0.8936600685119629,0
2026-03-20_1476582_U_9,0.37583407759666443,1
2026-03-20_1476584_U_12,0.33770230412483215,1
2026-03-20_1476584_U_13,0.20282673835754395,0
2026-03-20_1476584_U_2,0.3611961901187897,0
2026-03-20_1476584_U_7,0.2555910646915436,0
2026-03-20_1477764_U_12,0.16243980824947357,0
2026-03-20_1477764_U_23,0.13209955394268036,0
2026-03-20_1477764_U_29,0.18139974772930145,0
2026-03-20_1477764_U_30,0.19578863680362701,0
2026-03-20_1477764_U_35,0.2597704231739044,0
2026-03-20_1477764_U_36,0.2919122874736786,0
2026-03-20_1477764_U_40,0.2641226053237915,0
2026-03-20_1477764_U_41,0.15799635648727417,0
2026-03-20_1477764_U_42,0.1325884312391281,0
2026-03-20_1477764_U_46,0.3434682786464691,0
2026-03-20_1477764_U_47,0.23274917900562286,0
2026-03-20_1477764_U_48,0.19245381653308868,0
2026-03-20_1477764_U_5,0.2364906668663025,0
2026-03-20_1477764_U_52,0.18477763235569,0
2026-03-20_1477764_U_53,0.18029916286468506,0
2026-03-20_1477764_U_57,0.2144133597612381,0
2026-03-20_1477764_U_58,0.1804399937391281,0
2026-03-20_1477764_U_6,0.6961891055107117,0
2026-03-20_1477764_U_63,0.1693941354751587,1
2026-03-20_1477764_U_64,0.1467650681734085,0
2026-03-20_1477764_U_69,0.16925835609436035,0
2026-03-20_1477764_U_70,0.13529731333255768,0
2026-03-20_1477764_U_71,0.22567875683307648,0
2026-03-20_1477764_U_75,0.21713592112064362,0
2026-03-20_1477764_U_76,0.18346945941448212,0
2026-03-20_1477764_U_77,0.19705252349376678,0
2026-03-20_1477764_U_78,0.23476743698120117,0
2026-03-20_1477764_U_82,0.1272495687007904,1
2026-03-20_1477764_U_83,0.14185187220573425,1
2026-03-20_1477764_U_84,0.13259179890155792,0
2026-03-20_1477764_U_87,0.2032240629196167,1
2026-03-20_1477764_U_92,0.15437500178813934,1
2026-03-20_1477764_U_93,0.15109099447727203,0
2026-03-20_1477764_U_94,0.212181955575943,0
2026-03-20_1477766_U_10,0.18500900268554688,0
2026-03-20_1477766_U_11,0.1512201577425003,0
2026-03-20_1477766_U_12,0.31306543946266174,0
2026-03-20_1477766_U_20,0.19293509423732758,0
2026-03-20_1477766_U_21,0.18253912031650543,1
2026-03-20_1477766_U_22,0.23721903562545776,0
2026-03-20_1477766_U_23,0.3243034780025482,0
2026-03-20_1477766_U_24,0.14578212797641754,0
2026-03-20_1477766_U_25,0.22509372234344482,0
2026-03-20_1477766_U_26,0.25017037987709045,0
2026-03-20_1477766_U_27,0.25527694821357727,0
2026-03-20_1477766_U_28,0.2839352488517761,1
2026-03-20_1477766_U_29,0.2645057439804077,0
2026-03-20_1477766_U_30,0.16969828307628632,0
2026-03-20_1477766_U_31,0.1736493557691574,0
2026-03-20_1477766_U_8,0.3028963506221771,0
2026-03-20_1477766_U_9,0.17353694140911102,0
2026-03-20_1477767_U_10,0.3277374804019928,0
2026-03-20_1477767_U_18,0.1854817420244217,0
2026-03-20_1477767_U_19,0.15665416419506073,0
2026-03-20_1477767_U_20,0.2311890870332718,0
2026-03-20_1477767_U_21,0.23472993075847626,0
2026-03-20_1477767_U_8,0.20220452547073364,0
2026-03-20_1477767_U_9,0.2140095978975296,0
2026-03-20_1477768_U_10,0.33017370104789734,0
2026-03-20_1477768_U_18,0.25036850571632385,0
2026-03-20_1477768_U_19,0.1470542997121811,0
2026-03-20_1477768_U_20,0.2283639758825302,0
2026-03-20_1477768_U_21,0.19661514461040497,0
2026-03-20_1477768_U_22,0.3878757953643799,0
2026-03-20_1477768_U_30,0.21749217808246613,0
2026-03-20_1477768_U_31,0.25085726380348206,0
2026-03-20_1477768_U_32,0.2559090554714203,1
2026-03-20_1477768_U_33,0.270222932100296,0
2026-03-20_1477768_U_40,0.24567073583602905,0
2026-03-20_1477768_U_41,0.21286998689174652,0
2026-03-20_1477768_U_42,0.24685955047607422,1
2026-03-20_1477768_U_43,0.34272828698158264,0
2026-03-20_1477768_U_44,0.14059166610240936,1
2026-03-20_1477768_U_45,0.2332557886838913,1
2026-03-20_1477768_U_53,0.29793134331703186,0
2026-03-20_1477768_U_54,0.2405949831008911,0
2026-03-20_1477768_U_55,0.29024410247802734,0
2026-03-20_1477768_U_56,0.24906723201274872,0
2026-03-20_1477768_U_57,0.28673022985458374,0
2026-03-20_1477768_U_58,0.44429969787597656,0
2026-03-20_1477768_U_7,0.16585713624954224,0
2026-03-20_1477768_U_8,0.23279838263988495,1
2026-03-20_1477768_U_9,0.19925354421138763,0
2026-03-20_1477769_U_10,0.2172170728445053,0
2026-03-20_1477769_U_11,0.19986200332641602,0
2026-03-20_1477769_U_12,0.1665545105934143,0
2026-03-20_1477769_U_20,0.11957472562789917,0
2026-03-20_1477769_U_21,0.2839498221874237,0
2026-03-20_1477769_U_22,0.26032182574272156,0
2026-03-20_1477769_U_23,0.15165312588214874,0
2026-03-20_1477769_U_31,0.18675203621387482,1
2026-03-20_1477769_U_32,0.20054399967193604,1
2026-03-20_1477769_U_34,0.1751331090927124,1
2026-03-20_1477769_U_35,0.21785031259059906,1
2026-03-20_1477769_U_43,0.39424407482147217,0
2026-03-20_1477769_U_44,0.38662204146385193,0
2026-03-20_1477769_U_45,0.3612123727798462,0
2026-03-20_1477769_U_46,0.3974200189113617,0
2026-03-20_1477769_U_47,0.2230307012796402,1
2026-03-20_1477769_U_48,0.30956903100013733,1
2026-03-20_1477769_U_8,0.3636992275714874,0
2026-03-20_1477769_U_9,0.22428369522094727,0
2026-03-20_1477770_U_11,0.49896004796028137,0
2026-03-20_1477770_U_12,0.5194332599639893,0
2026-03-20_1477770_U_13,0.5301163196563721,0
2026-03-20_1477770_U_14,0.6186413764953613,0
2026-03-20_1477770_U_15,1.299952745437622,0
2026-03-20_1477770_U_17,1.4139434099197388,1
2026-03-20_1481779_U_10,0.13357745110988617,0
2026-03-20_1481779_U_102,0.13053883612155914,0
2026-03-20_1481779_U_104,0.23928697407245636,0
2026-03-20_1481779_U_11,0.1776144653558731,0
2026-03-20_1481779_U_110,0.2302197962999344,1
2026-03-20_1481779_U_111,0.3532717823982239,1
2026-03-20_1481779_U_121,0.14551645517349243,0
2026-03-20_1481779_U_122,0.1776793748140335,0
2026-03-20_1481779_U_124,0.2775990664958954,0
2026-03-20_1481779_U_125,0.14649353921413422,0
2026-03-20_1481779_U_127,0.6014411449432373,0
2026-03-20_1481779_U_128,0.20306622982025146,0
2026-03-20_1481779_U_129,0.1420448273420334,0
2026-03-20_1481779_U_130,0.19729627668857574,0
2026-03-20_1481779_U_131,0.1896970272064209,0
2026-03-20_1481779_U_19,0.1135721504688263,0
2026-03-20_1481779_U_26,0.26455751061439514,1
2026-03-20_1481779_U_27,0.2585339844226837,0
2026-03-20_1481779_U_28,0.1622045785188675,0
2026-03-20_1481779_U_35,0.2169664055109024,0
2026-03-20_1481779_U_36,0.3882408142089844,0
2026-03-20_1481779_U_37,0.16418702900409698,0
2026-03-20_1481779_U_38,0.14044135808944702,0
2026-03-20_1481779_U_48,0.18769438564777374,0
2026-03-20_1481779_U_49,0.1865161657333374,0
2026-03-20_1481779_U_56,0.17917412519454956,0
2026-03-20_1481779_U_57,0.13497482240200043,0
2026-03-20_1481779_U_7,0.2908746004104614,0
2026-03-20_1481779_U_71,0.08826252818107605,0
2026-03-20_1481779_U_72,0.1642315536737442,0
2026-03-20_1481779_U_73,0.298859179019928,0
2026-03-20_1481779_U_8,0.27051594853401184,0
2026-03-20_1481779_U_81,0.27330252528190613,0
2026-03-20_1481779_U_86,0.1470961570739746,0
2026-03-20_1481779_U_87,0.17618997395038605,1
2026-03-20_1481779_U_9,0.2999793291091919,0
2026-03-20_1481779_U_93,0.26606425642967224,0
2026-03-20_1481779_U_94,0.14681369066238403,0
2026-03-20_1481779_U_95,0.13500386476516724,0
2026-03-20_1481779_U_96,0.15061786770820618,0
2026-03-20_1493653_U_16,0.2760871946811676,1
2026-03-20_1493653_U_23,0.8709693551063538,0
