epoch,0,1,2,3,4
0,2.8168424834375796,2.8240763596126013,2.7574613060749753,2.7701320580073765,2.701001364844186
1,2.0512761741444683,2.0691359979765758,2.0408224992349115,2.0308220437594824,2.01158994606563
2,1.8262451938960864,1.8715200662612914,1.8275147827578262,1.8251582724707467,1.7978251882961818
3,1.690829657126164,1.7114205735070365,1.6841135595885801,1.6784632921218872,1.6490914634295872
4,1.5910139343012935,1.6292722395488195,1.5856842490988718,1.6027308293751308,1.5762867689132691
5,1.5270722724389338,1.5975803852081298,1.5403312310366564,1.5485833644866944,1.524220063005175
6,1.4795756340026855,1.5415582707950046,1.4747548808514233,1.469874257700784,1.472303819656372
7,1.4200136005014614,1.4688685638563974,1.4353603829800243,1.408438777923584,1.420337860924857
8,1.3711363699125207,1.4271614006587436,1.3892885329018176,1.3617366007396152,1.3623690724372863
9,1.3525188176528267,1.3859542199543544,1.3749988683512513,1.3496718151228768,1.3354145748274666
10,1.3205607386602871,1.3746635096413748,1.3274587157746436,1.3170512778418404,1.2969110250473022
11,1.2972677738770195,1.3351162127086094,1.30891876993045,1.2864993265696933,1.2575260519981384
12,1.2744723454765652,1.3149470397404261,1.2660336880616738,1.2690614530018398,1.2403906260217938
13,1.2347852907319,1.3027800015040807,1.2334894126569722,1.2379679271153041,1.2119031650679453
14,1.2299547437308491,1.271252749647413,1.226659056166528,1.2242297138486589,1.1922918200492858
15,1.1998430127682893,1.2469941139221192,1.2041984032577193,1.1924454535756792,1.1667699294430869
16,1.1950735648473103,1.2415725214140756,1.2040587747600717,1.1986950738089426,1.1561715909412928
17,1.1694825179335,1.2035558308873857,1.1614571541128025,1.1658079777445112,1.1268130489758084
18,1.1409059952998506,1.1893541301999773,1.1526509464626582,1.1531020164489747,1.1201271857534136
19,1.1351548580155857,1.1744745186397008,1.1483423894559834,1.1317513874598912,1.1079907281058174
20,1.1196564107701399,1.1620971969195775,1.1349335606669035,1.120477751323155,1.100385160105569
21,1.10939325629801,1.1465273542063577,1.1184107401001622,1.1030808448791505,1.0866724133491517
22,1.100174337193586,1.1529371687344143,1.1223879490100162,1.1045582243374417,1.0674907496997288
23,1.0903046528498332,1.1368092485836574,1.1021673234415725,1.081943816798074,1.057991510629654
24,1.085144377273062,1.1313072068350656,1.0985081817062807,1.0835777120930807,1.0524353895868575
25,1.0662369244340537,1.1268798044749668,1.070705235843927,1.0729092563901628,1.045600438969476
26,1.0595797663149626,1.1058028221130372,1.0838357529170077,1.0690746103014266,1.0310875228473118
27,1.0645473046579224,1.1124450377055577,1.082862910250543,1.061661000762667,1.0204148871558054
28,1.0590378780295884,1.1176022699901036,1.0795370441087535,1.071240498338427,1.0356807444776808
29,1.0612352835959282,1.1029303678444453,1.0905115562425534,1.0636896823133741,1.0391972533294134
