trip_instance_id,knn_dist,y
2026-03-20_1348037_U_29,0.0702725276350975,0
2026-03-20_1348037_U_30,0.08981174230575562,0
2026-03-20_1348037_U_33,0.077640101313591,0
2026-03-20_1348037_U_39,0.08235599845647812,0
2026-03-20_1348037_U_41,0.055703677237033844,0
2026-03-20_1348037_U_42,0.05536199361085892,0
2026-03-20_1348037_U_46,0.06935063749551773,0
2026-03-20_1348037_U_48,0.05896942690014839,0
2026-03-20_1348037_U_49,0.03771280124783516,0
2026-03-20_1348037_U_50,0.014568326063454151,0
2026-03-20_1348037_U_52,0.03236418962478638,0
2026-03-20_1349260_U_20,0.1304606944322586,0
2026-03-20_1349260_U_21,0.11624380201101303,0
2026-03-20_1349260_U_22,0.10719459503889084,0
2026-03-20_1349260_U_24,0.059822048991918564,0
2026-03-20_1349260_U_25,0.1646941751241684,0
2026-03-20_1349260_U_26,0.0658930167555809,1
2026-03-20_1349260_U_28,0.04563749581575394,0
2026-03-20_1349260_U_29,0.06847043335437775,0
2026-03-20_1349260_U_30,0.2697015702724457,1
2026-03-20_1349260_U_32,0.041749563068151474,0
2026-03-20_1349260_U_33,0.05854351446032524,0
2026-03-20_1349260_U_34,0.045248907059431076,0
2026-03-20_1349260_U_36,0.04201246052980423,0
2026-03-20_1359254_U_14,0.15071170032024384,1
2026-03-20_1359254_U_29,0.09199628233909607,0
2026-03-20_1359254_U_30,0.0902925506234169,1
2026-03-20_1359254_U_41,0.1119891032576561,1
2026-03-20_1359254_U_42,0.07090236991643906,1
2026-03-20_1359254_U_48,0.10498466342687607,0
2026-03-20_1359254_U_59,0.0941208004951477,1
2026-03-20_1359254_U_68,0.10221946239471436,0
2026-03-20_1359254_U_69,0.06385072320699692,1
2026-03-20_1359254_U_70,0.09214376658201218,1
2026-03-20_1359254_U_73,0.08230646699666977,1
2026-03-20_1359254_U_74,0.0847499892115593,0
2026-03-20_1359254_U_75,0.01977675035595894,1
2026-03-20_1359254_U_77,0.08815344423055649,0
2026-03-20_1359254_U_78,0.06079616770148277,1
2026-03-20_1359254_U_8,0.09310177713632584,1
2026-03-20_1359254_U_9,0.09224938601255417,0
2026-03-20_1390072_U_11,0.07792111486196518,0
2026-03-20_1390072_U_16,0.08087464421987534,1
2026-03-20_1390072_U_20,0.12488663196563721,0
2026-03-20_1390072_U_21,0.07307013124227524,0
2026-03-20_1390072_U_22,0.07022728770971298,0
2026-03-20_1390072_U_23,0.08318933844566345,1
2026-03-20_1390072_U_25,0.06841486692428589,0
2026-03-20_1390072_U_26,0.0989464521408081,0
2026-03-20_1390072_U_27,0.05227745696902275,0
2026-03-20_1390072_U_28,0.014300472103059292,0
2026-03-20_1390072_U_9,0.06735066324472427,1
2026-03-20_1407494_U_25,0.09290750324726105,1
2026-03-20_1407494_U_31,0.02732960693538189,1
2026-03-20_1407494_U_32,0.11135472357273102,0
2026-03-20_1407494_U_37,0.025466326624155045,0
2026-03-20_1407495_U_10,0.1013716459274292,0
2026-03-20_1407495_U_11,0.14010398089885712,0
2026-03-20_1407495_U_19,0.15079307556152344,0
2026-03-20_1407495_U_20,0.053984202444553375,0
2026-03-20_1407495_U_21,0.0727512538433075,1
2026-03-20_1407495_U_22,0.13195021450519562,0
2026-03-20_1407495_U_23,0.04873039573431015,1
2026-03-20_1407495_U_24,0.05406862124800682,0
2026-03-20_1407495_U_26,0.017035219818353653,1
2026-03-20_1407495_U_27,0.023362545296549797,1
2026-03-20_1429985_U_104,0.08085943758487701,0
2026-03-20_1429985_U_117,0.06253524124622345,1
2026-03-20_1429985_U_118,0.08163633197546005,0
2026-03-20_1429985_U_33,0.031236544251441956,0
2026-03-20_1429985_U_38,0.02996228076517582,0
2026-03-20_1429985_U_73,0.1483694314956665,1
2026-03-20_1429985_U_99,0.03572041913866997,1
2026-03-20_1431265_U_100,0.10409923642873764,0
2026-03-20_1431265_U_101,0.014430701732635498,0
2026-03-20_1431265_U_102,0.03336375206708908,0
2026-03-20_1431265_U_105,0.06139799952507019,0
2026-03-20_1431265_U_117,0.03199049085378647,0
2026-03-20_1431265_U_118,0.07163957506418228,0
2026-03-20_1431265_U_119,0.01906556822359562,1
2026-03-20_1431265_U_121,0.1134127527475357,0
2026-03-20_1431265_U_124,0.014597359113395214,1
2026-03-20_1431265_U_125,0.12336926907300949,1
2026-03-20_1431265_U_130,0.01893197000026703,1
2026-03-20_1431265_U_133,0.15546737611293793,0
2026-03-20_1431265_U_135,0.017926929518580437,1
2026-03-20_1431265_U_137,0.0732814371585846,0
2026-03-20_1431265_U_138,0.07750089466571808,1
2026-03-20_1431265_U_142,0.0330708809196949,0
2026-03-20_1431265_U_143,0.060493480414152145,0
2026-03-20_1431265_U_144,0.01550207193940878,1
2026-03-20_1431265_U_145,0.03390458598732948,1
2026-03-20_1431265_U_148,0.016111675649881363,0
2026-03-20_1431265_U_149,0.05050855875015259,0
2026-03-20_1431265_U_150,0.06264419853687286,0
2026-03-20_1431265_U_152,0.024129126220941544,1
2026-03-20_1431265_U_155,0.054032325744628906,0
2026-03-20_1431265_U_157,0.1050538569688797,1
2026-03-20_1431265_U_160,0.13214576244354248,0
2026-03-20_1431265_U_161,0.021241217851638794,1
2026-03-20_1431265_U_164,0.04829239845275879,0
2026-03-20_1431265_U_165,0.04711189866065979,1
2026-03-20_1431265_U_166,0.04346159100532532,1
2026-03-20_1431265_U_167,0.11297675222158432,0
2026-03-20_1431265_U_168,0.02048027515411377,0
2026-03-20_1431265_U_169,0.03251899406313896,0
2026-03-20_1431265_U_170,0.06736929714679718,0
2026-03-20_1431265_U_171,0.07238626480102539,1
2026-03-20_1431265_U_172,0.052472855895757675,0
2026-03-20_1431265_U_46,0.027382833883166313,0
2026-03-20_1431265_U_47,0.14851990342140198,1
2026-03-20_1431265_U_57,0.05136081203818321,1
2026-03-20_1431265_U_58,0.03580022603273392,0
2026-03-20_1431265_U_59,0.05005183443427086,0
2026-03-20_1431265_U_60,0.0147539172321558,1
2026-03-20_1431265_U_70,0.04317096620798111,0
2026-03-20_1431265_U_71,0.07434376329183578,0
2026-03-20_1431265_U_72,0.020214859396219254,0
2026-03-20_1431265_U_78,0.02120433747768402,1
2026-03-20_1431265_U_88,0.0657452866435051,1
2026-03-20_1431265_U_89,0.07909797132015228,1
2026-03-20_1431265_U_90,0.02448134683072567,1
2026-03-20_1431265_U_93,0.027382642030715942,0
2026-03-20_1431265_U_99,0.1630362719297409,0
2026-03-20_1439975_U_100,0.023973101750016212,0
2026-03-20_1439975_U_101,0.04136050119996071,0
2026-03-20_1439975_U_19,0.10211193561553955,1
2026-03-20_1439975_U_23,0.08761077374219894,1
2026-03-20_1439975_U_40,0.14873945713043213,1
2026-03-20_1439975_U_41,0.05289416387677193,1
2026-03-20_1439975_U_44,0.1947801411151886,1
2026-03-20_1439975_U_52,0.07577336579561234,1
2026-03-20_1439975_U_60,0.1033489853143692,1
2026-03-20_1439975_U_63,0.06597045063972473,1
2026-03-20_1439975_U_65,0.04472045227885246,0
2026-03-20_1439975_U_67,0.033281438052654266,1
2026-03-20_1439975_U_69,0.038660746067762375,0
2026-03-20_1439975_U_71,0.026867901906371117,1
2026-03-20_1439975_U_72,0.10710900276899338,1
2026-03-20_1439975_U_76,0.034029584378004074,0
2026-03-20_1439975_U_77,0.15075938403606415,1
2026-03-20_1439975_U_84,0.03242814913392067,1
2026-03-20_1439975_U_86,0.06843500584363937,0
2026-03-20_1439975_U_88,0.13135020434856415,1
2026-03-20_1439975_U_92,0.05322545766830444,1
2026-03-20_1439975_U_97,0.07383322715759277,1
2026-03-20_1439975_U_99,0.037541795521974564,0
2026-03-20_1441389_U_12,0.12000761181116104,1
2026-03-20_1441389_U_15,0.07328954339027405,0
2026-03-20_1441389_U_18,0.1265658736228943,0
2026-03-20_1441389_U_19,0.0933537557721138,0
2026-03-20_1441389_U_20,0.10358138382434845,0
2026-03-20_1441389_U_21,0.029108619317412376,0
2026-03-20_1441389_U_22,0.025343526154756546,0
2026-03-20_1474792_U_19,0.11177390813827515,1
2026-03-20_1474792_U_21,0.06476833671331406,1
2026-03-20_1474792_U_23,0.15530772507190704,0
2026-03-20_1474792_U_29,0.11369126290082932,0
2026-03-20_1474792_U_30,0.17277713119983673,0
2026-03-20_1474792_U_31,0.05280464515089989,0
2026-03-20_1474792_U_32,0.05017833784222603,0
2026-03-20_1474792_U_34,0.1486883908510208,0
2026-03-20_1474792_U_35,0.03963372856378555,0
2026-03-20_1474792_U_36,0.09733559936285019,0
2026-03-20_1474792_U_37,0.04831073805689812,0
2026-03-20_1474792_U_38,0.013057875446975231,0
2026-03-20_1474792_U_39,0.01882416009902954,0
2026-03-20_1474793_U_3,0.10241559892892838,0
2026-03-20_1474793_U_4,0.03947533294558525,1
2026-03-20_1476582_U_10,0.02905166521668434,0
2026-03-20_1476582_U_11,0.008971238508820534,0
2026-03-20_1476582_U_16,0.06526560336351395,0
2026-03-20_1476582_U_20,0.05545830726623535,0
2026-03-20_1476582_U_21,0.01151476800441742,0
2026-03-20_1476582_U_24,0.08102154731750488,0
2026-03-20_1476582_U_25,0.039695195853710175,1
2026-03-20_1476582_U_28,0.07267836481332779,1
2026-03-20_1476582_U_3,0.051447249948978424,1
2026-03-20_1476582_U_30,0.03954663872718811,0
2026-03-20_1476582_U_32,0.04183616489171982,0
2026-03-20_1476582_U_35,0.051732659339904785,0
2026-03-20_1476582_U_36,0.02693498507142067,0
2026-03-20_1476582_U_37,0.012865737080574036,0
2026-03-20_1476582_U_4,0.01925589144229889,0
2026-03-20_1476582_U_5,0.08473789691925049,0
2026-03-20_1476582_U_9,0.08180644363164902,1
2026-03-20_1476584_U_12,0.08670748025178909,1
2026-03-20_1476584_U_13,0.12679743766784668,0
2026-03-20_1476584_U_2,0.06374268978834152,0
2026-03-20_1476584_U_7,0.1109708771109581,0
2026-03-20_1477764_U_12,0.0808357298374176,0
2026-03-20_1477764_U_23,0.12151675671339035,0
2026-03-20_1477764_U_29,0.06978079676628113,0
2026-03-20_1477764_U_30,0.03925807401537895,0
2026-03-20_1477764_U_35,0.08775687962770462,0
2026-03-20_1477764_U_36,0.11193712055683136,0
2026-03-20_1477764_U_40,0.07105051726102829,0
2026-03-20_1477764_U_41,0.11781038343906403,0
2026-03-20_1477764_U_42,0.03645457327365875,0
2026-03-20_1477764_U_46,0.03727145120501518,0
2026-03-20_1477764_U_47,0.1908441036939621,0
2026-03-20_1477764_U_48,0.11101298779249191,0
2026-03-20_1477764_U_5,0.035193197429180145,0
2026-03-20_1477764_U_52,0.03332033380866051,0
2026-03-20_1477764_U_53,0.1802826225757599,0
2026-03-20_1477764_U_57,0.040452565997838974,0
2026-03-20_1477764_U_58,0.14612635970115662,0
2026-03-20_1477764_U_6,0.14702656865119934,0
2026-03-20_1477764_U_63,0.08651190996170044,1
2026-03-20_1477764_U_64,0.08706836402416229,0
2026-03-20_1477764_U_69,0.08477457612752914,0
2026-03-20_1477764_U_70,0.07578078657388687,0
2026-03-20_1477764_U_71,0.021211300045251846,0
2026-03-20_1477764_U_75,0.032022129744291306,0
2026-03-20_1477764_U_76,0.09205953031778336,0
2026-03-20_1477764_U_77,0.0694742351770401,0
2026-03-20_1477764_U_78,0.01769845560193062,0
2026-03-20_1477764_U_82,0.1262654811143875,1
2026-03-20_1477764_U_83,0.06608744710683823,1
2026-03-20_1477764_U_84,0.02816123701632023,0
2026-03-20_1477764_U_87,0.1614469438791275,1
2026-03-20_1477764_U_92,0.06778606027364731,1
2026-03-20_1477764_U_93,0.0381154865026474,0
2026-03-20_1477764_U_94,0.01844738982617855,0
2026-03-20_1477766_U_10,0.13926701247692108,0
2026-03-20_1477766_U_11,0.037231042981147766,0
2026-03-20_1477766_U_12,0.02888755314052105,0
2026-03-20_1477766_U_20,0.06110076978802681,0
2026-03-20_1477766_U_21,0.1496981829404831,1
2026-03-20_1477766_U_22,0.09206192940473557,0
2026-03-20_1477766_U_23,0.04387732595205307,0
2026-03-20_1477766_U_24,0.020273296162486076,0
2026-03-20_1477766_U_25,0.10995955765247345,0
2026-03-20_1477766_U_26,0.11273767799139023,0
2026-03-20_1477766_U_27,0.048542190343141556,0
2026-03-20_1477766_U_28,0.0666164755821228,1
2026-03-20_1477766_U_29,0.04291035979986191,0
2026-03-20_1477766_U_30,0.03664209321141243,0
2026-03-20_1477766_U_31,0.021387958899140358,0
2026-03-20_1477766_U_8,0.07033248990774155,0
2026-03-20_1477766_U_9,0.08531393855810165,0
2026-03-20_1477767_U_10,0.07298886030912399,0
2026-03-20_1477767_U_18,0.06945794820785522,0
2026-03-20_1477767_U_19,0.14128635823726654,0
2026-03-20_1477767_U_20,0.04122883081436157,0
2026-03-20_1477767_U_21,0.04146963357925415,0
2026-03-20_1477767_U_8,0.123958520591259,0
2026-03-20_1477767_U_9,0.07278696447610855,0
2026-03-20_1477768_U_10,0.07544215768575668,0
2026-03-20_1477768_U_18,0.09583618491888046,0
2026-03-20_1477768_U_19,0.12662135064601898,0
2026-03-20_1477768_U_20,0.037224553525447845,0
2026-03-20_1477768_U_21,0.06820058822631836,0
2026-03-20_1477768_U_22,0.05566444620490074,0
2026-03-20_1477768_U_30,0.11119091510772705,0
2026-03-20_1477768_U_31,0.08933118730783463,0
2026-03-20_1477768_U_32,0.08013194799423218,1
2026-03-20_1477768_U_33,0.060912180691957474,0
2026-03-20_1477768_U_40,0.06564627587795258,0
2026-03-20_1477768_U_41,0.13540171086788177,0
2026-03-20_1477768_U_42,0.055394526571035385,1
2026-03-20_1477768_U_43,0.04667040705680847,0
2026-03-20_1477768_U_44,0.02284632995724678,1
2026-03-20_1477768_U_45,0.02003675512969494,1
2026-03-20_1477768_U_53,0.13127335906028748,0
2026-03-20_1477768_U_54,0.04990584775805473,0
2026-03-20_1477768_U_55,0.057624947279691696,0
2026-03-20_1477768_U_56,0.04809848219156265,0
2026-03-20_1477768_U_57,0.03156638890504837,0
2026-03-20_1477768_U_58,0.02822697162628174,0
2026-03-20_1477768_U_7,0.07541822642087936,0
2026-03-20_1477768_U_8,0.13076621294021606,1
2026-03-20_1477768_U_9,0.04399535432457924,0
2026-03-20_1477769_U_10,0.12987838685512543,0
2026-03-20_1477769_U_11,0.06423430144786835,0
2026-03-20_1477769_U_12,0.03978891298174858,0
2026-03-20_1477769_U_20,0.07172814756631851,0
2026-03-20_1477769_U_21,0.1395537108182907,0
2026-03-20_1477769_U_22,0.08712664991617203,0
2026-03-20_1477769_U_23,0.04323277622461319,0
2026-03-20_1477769_U_31,0.08420447260141373,1
