trip_instance_id,recon_mse,y
2026-03-20_1348037_U_28,0.6505043506622314,1
2026-03-20_1348037_U_29,0.17613312602043152,0
2026-03-20_1348037_U_30,0.39050614833831787,0
2026-03-20_1348037_U_31,0.6265528798103333,0
2026-03-20_1348037_U_32,0.4274739623069763,0
2026-03-20_1348037_U_33,0.24566389620304108,0
2026-03-20_1348037_U_35,0.3020035922527313,1
2026-03-20_1348037_U_36,0.36696577072143555,0
2026-03-20_1348037_U_37,0.3871442973613739,0
2026-03-20_1348037_U_38,0.29444655776023865,0
2026-03-20_1348037_U_39,0.5668206214904785,0
2026-03-20_1348037_U_40,0.13329292833805084,0
2026-03-20_1348037_U_41,0.27519911527633667,0
2026-03-20_1348037_U_42,0.36900654435157776,0
2026-03-20_1348037_U_43,0.4519382417201996,0
2026-03-20_1348037_U_44,0.4404084384441376,0
2026-03-20_1348037_U_46,0.520241916179657,0
2026-03-20_1348037_U_47,0.20836220681667328,0
2026-03-20_1348037_U_48,0.25951334834098816,0
2026-03-20_1348037_U_49,0.7683923840522766,0
2026-03-20_1348037_U_50,0.38011500239372253,0
2026-03-20_1348037_U_51,0.167810320854187,0
2026-03-20_1348037_U_52,0.34869077801704407,0
2026-03-20_1349260_U_20,0.3287370800971985,0
2026-03-20_1349260_U_21,0.31002184748649597,0
2026-03-20_1349260_U_22,1.0910290479660034,0
2026-03-20_1349260_U_24,0.20502859354019165,0
2026-03-20_1349260_U_25,0.23347966372966766,0
2026-03-20_1349260_U_26,1.715775966644287,1
2026-03-20_1349260_U_27,0.5194171071052551,0
2026-03-20_1349260_U_28,0.17471668124198914,0
2026-03-20_1349260_U_29,0.13075365126132965,0
2026-03-20_1349260_U_30,0.3260567784309387,1
2026-03-20_1349260_U_31,0.24722464382648468,0
2026-03-20_1349260_U_32,0.150836780667305,0
2026-03-20_1349260_U_33,0.1883031129837036,0
2026-03-20_1349260_U_34,0.15067283809185028,0
2026-03-20_1349260_U_35,0.10798487812280655,0
2026-03-20_1349260_U_36,1.4105361700057983,0
2026-03-20_1359254_U_14,0.41738978028297424,1
2026-03-20_1359254_U_29,0.4279298484325409,0
2026-03-20_1359254_U_30,0.2044481635093689,1
2026-03-20_1359254_U_41,0.260404497385025,1
2026-03-20_1359254_U_42,0.6291940808296204,1
2026-03-20_1359254_U_45,0.46039268374443054,1
2026-03-20_1359254_U_47,0.366658478975296,1
2026-03-20_1359254_U_48,0.35343632102012634,0
2026-03-20_1359254_U_51,0.392584890127182,0
2026-03-20_1359254_U_53,0.3401211202144623,1
2026-03-20_1359254_U_54,0.40933993458747864,0
2026-03-20_1359254_U_56,0.2707229554653168,1
2026-03-20_1359254_U_57,0.25888311862945557,0
2026-03-20_1359254_U_59,0.16338443756103516,1
2026-03-20_1359254_U_60,0.22789986431598663,0
2026-03-20_1359254_U_65,0.1321820169687271,1
2026-03-20_1359254_U_67,0.1521754413843155,0
2026-03-20_1359254_U_68,0.5836971402168274,0
2026-03-20_1359254_U_69,0.33158883452415466,1
2026-03-20_1359254_U_70,0.22147351503372192,1
2026-03-20_1359254_U_71,0.31348320841789246,0
2026-03-20_1359254_U_72,0.24451138079166412,0
2026-03-20_1359254_U_73,0.3485303819179535,1
2026-03-20_1359254_U_74,0.29711779952049255,0
2026-03-20_1359254_U_75,0.34122440218925476,1
2026-03-20_1359254_U_76,0.2653828561306,0
2026-03-20_1359254_U_77,0.19341690838336945,0
2026-03-20_1359254_U_78,0.2591232359409332,1
2026-03-20_1359254_U_79,0.23173566162586212,0
2026-03-20_1359254_U_8,0.1962137222290039,1
2026-03-20_1359254_U_9,0.5095226168632507,0
2026-03-20_1390072_U_10,0.19045929610729218,0
2026-03-20_1390072_U_11,0.22931861877441406,0
2026-03-20_1390072_U_16,0.48565569519996643,1
2026-03-20_1390072_U_19,0.22814305126667023,0
2026-03-20_1390072_U_20,0.2022898644208908,0
2026-03-20_1390072_U_21,0.2904527485370636,0
2026-03-20_1390072_U_22,0.14807023108005524,0
2026-03-20_1390072_U_23,0.26846903562545776,1
2026-03-20_1390072_U_24,0.16320735216140747,0
2026-03-20_1390072_U_25,0.21042101085186005,0
2026-03-20_1390072_U_26,0.14124785363674164,0
2026-03-20_1390072_U_27,0.1574232280254364,0
2026-03-20_1390072_U_28,0.40642380714416504,0
2026-03-20_1390072_U_9,0.2759379744529724,1
2026-03-20_1407494_U_20,0.19157493114471436,0
2026-03-20_1407494_U_21,0.5043563842773438,1
2026-03-20_1407494_U_22,0.3442898988723755,0
2026-03-20_1407494_U_23,0.34308138489723206,1
2026-03-20_1407494_U_24,0.2396862655878067,1
2026-03-20_1407494_U_25,0.6724445223808289,1
2026-03-20_1407494_U_26,0.20016120374202728,0
2026-03-20_1407494_U_27,0.4651455879211426,0
2026-03-20_1407494_U_28,0.28098616003990173,0
2026-03-20_1407494_U_29,0.22293967008590698,0
2026-03-20_1407494_U_30,0.2400810867547989,0
2026-03-20_1407494_U_31,0.6311439275741577,1
2026-03-20_1407494_U_32,0.3798130750656128,0
2026-03-20_1407494_U_33,0.3453385531902313,0
2026-03-20_1407494_U_34,0.170767143368721,0
2026-03-20_1407494_U_35,0.24685004353523254,0
2026-03-20_1407494_U_36,0.2978852689266205,0
2026-03-20_1407494_U_37,0.25146716833114624,0
2026-03-20_1407495_U_10,0.5127323269844055,0
2026-03-20_1407495_U_11,0.35397204756736755,0
2026-03-20_1407495_U_17,0.7655643820762634,1
2026-03-20_1407495_U_18,0.32133984565734863,0
2026-03-20_1407495_U_19,0.2354600876569748,0
2026-03-20_1407495_U_20,0.20390649139881134,0
2026-03-20_1407495_U_21,0.1846100091934204,1
2026-03-20_1407495_U_22,0.42346808314323425,0
2026-03-20_1407495_U_23,0.30212679505348206,1
2026-03-20_1407495_U_24,0.22100162506103516,0
2026-03-20_1407495_U_26,0.3419250547885895,1
2026-03-20_1407495_U_27,0.5004043579101562,1
2026-03-20_1407495_U_9,0.14885687828063965,1
2026-03-20_1429985_U_100,0.2682550251483917,0
2026-03-20_1429985_U_101,0.19301486015319824,0
2026-03-20_1429985_U_102,0.28024792671203613,0
2026-03-20_1429985_U_103,0.22592094540596008,0
2026-03-20_1429985_U_104,0.21390923857688904,0
2026-03-20_1429985_U_105,0.4822762608528137,0
2026-03-20_1429985_U_106,0.319695383310318,0
2026-03-20_1429985_U_107,0.11926668882369995,0
2026-03-20_1429985_U_108,0.20925480127334595,0
2026-03-20_1429985_U_110,0.24560503661632538,0
2026-03-20_1429985_U_111,0.22887615859508514,0
2026-03-20_1429985_U_112,0.2977755665779114,0
2026-03-20_1429985_U_113,0.7442724704742432,0
2026-03-20_1429985_U_114,0.1926548331975937,0
2026-03-20_1429985_U_115,0.24710075557231903,0
2026-03-20_1429985_U_117,0.4088535010814667,1
2026-03-20_1429985_U_118,0.269474595785141,0
2026-03-20_1429985_U_119,0.24776537716388702,0
2026-03-20_1429985_U_120,0.27411797642707825,0
2026-03-20_1429985_U_122,0.3710775375366211,0
2026-03-20_1429985_U_123,0.12991534173488617,0
2026-03-20_1429985_U_124,0.17308038473129272,0
2026-03-20_1429985_U_125,0.49131274223327637,0
2026-03-20_1429985_U_126,0.1660580337047577,0
2026-03-20_1429985_U_127,0.4239310622215271,0
2026-03-20_1429985_U_33,0.19840513169765472,0
2026-03-20_1429985_U_34,0.34142687916755676,0
2026-03-20_1429985_U_35,0.2562275230884552,1
2026-03-20_1429985_U_38,0.19668500125408173,0
2026-03-20_1429985_U_39,0.23273174464702606,0
2026-03-20_1429985_U_40,0.39659374952316284,1
2026-03-20_1429985_U_48,0.09175831079483032,0
2026-03-20_1429985_U_49,0.321830689907074,0
2026-03-20_1429985_U_50,0.3386240303516388,1
2026-03-20_1429985_U_58,0.32237210869789124,1
2026-03-20_1429985_U_59,0.3334015905857086,0
2026-03-20_1429985_U_60,0.1772334724664688,0
2026-03-20_1429985_U_63,0.30528780817985535,1
2026-03-20_1429985_U_64,0.2482987493276596,0
2026-03-20_1429985_U_65,0.19431065022945404,0
2026-03-20_1429985_U_73,0.5349642634391785,1
2026-03-20_1429985_U_74,0.2789301574230194,0
2026-03-20_1429985_U_75,0.10847378522157669,0
2026-03-20_1429985_U_78,0.2982545793056488,0
2026-03-20_1429985_U_80,0.2743440270423889,0
2026-03-20_1429985_U_82,0.2794148623943329,1
2026-03-20_1429985_U_83,0.34758439660072327,1
2026-03-20_1429985_U_85,0.25633302330970764,0
2026-03-20_1429985_U_87,0.12382006645202637,0
2026-03-20_1429985_U_88,0.19664710760116577,0
2026-03-20_1429985_U_91,0.09854964166879654,1
2026-03-20_1429985_U_92,0.303053617477417,0
