model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
AE+MLP,1,0.767223382045929,0.4466876971608833,0.7484143763213531,0.5594626629790597,0.8393927660800831,0.605686558724327,,,,,,
AE+MLP,2,0.7810479375696767,0.46303501945525294,0.6708004509582863,0.5478821362799263,0.8258574693569583,0.5929435373386034,,,,,,
AE+MLP,3,0.7403477082862949,0.3791500664010624,0.7264631043256997,0.49825479930191974,0.8071249613221775,0.5190109320717708,,,,,,
AE+MLP,4,0.7263110510916048,0.47580645161290325,0.8428571428571429,0.6082474226804123,0.847548471690813,0.6649492065094961,,,,,,
AE+MLP,5,0.7534768954688201,0.4636118598382749,0.6942482341069627,0.555959595959596,0.8071719603923049,0.6002365176740826,,,,,,
AE+MLP,mean,0.753681394892465,0.44565821889367535,0.736556661713889,0.5539613234401828,0.8254191257684672,0.596565350463656,0.0192835567905475,0.034518390838799186,0.05942416997696101,0.034989746351181836,0.016448697314156765,0.046477588188149344
AE+XGBoost,1,0.824634655532359,0.5472370766488414,0.6490486257928119,0.5938104448742747,0.8546195383156638,0.6473372705281543,,,,,,
AE+XGBoost,2,0.834113712374582,0.5848161328588375,0.5558060879368658,0.5699421965317919,0.8330085046621792,0.6349027540787454,,,,,,
AE+XGBoost,3,0.8006321968841725,0.4544600938967136,0.6157760814249363,0.5229605618584549,0.8191019900132639,0.5424099560980643,,,,,,
AE+XGBoost,4,0.7976592392527572,0.5814296241709653,0.7044642857142858,0.6370609608397255,0.8566753363999828,0.6883453274192871,,,,,,
AE+XGBoost,5,0.8030506953790938,0.5512239347234814,0.6135216952573158,0.5807067812798472,0.8252440409023001,0.6498015760989546,,,,,,
AE+XGBoost,mean,0.812018099884593,0.5438333724597679,0.6277233552252431,0.5808961890768188,0.8377298820586778,0.6325593768446411,0.014585085375585914,0.04721621189072479,0.04870411770771773,0.03687227229004695,0.015292983519481603,0.04849775528035945
AE+RF,1,0.8204592901878914,0.5395948434622467,0.6194503171247357,0.5767716535433071,0.8521690539937037,0.6357852704077502,,,,,,
AE+RF,2,0.834113712374582,0.5959731543624162,0.5005636978579482,0.5441176470588235,0.8389816965832828,0.6147760513127909,,,,,,
AE+RF,3,0.7945360126439377,0.443327239488117,0.6170483460559797,0.5159574468085106,0.8162808662994108,0.5350730022399695,,,,,,
AE+RF,4,0.7974341661039838,0.5837138508371386,0.6848214285714286,0.6302382908792111,0.8547810713210954,0.6777316323157955,,,,,,
AE+RF,5,0.8030506953790938,0.5504014272970562,0.6226034308779012,0.584280303030303,0.8351578978618354,0.6423765122554362,,,,,,
AE+RF,mean,0.8099187753378978,0.5426021030893949,0.6088974440975987,0.5702730682640311,0.8394741172118657,0.6211484937063485,0.015074235036344601,0.05378478693548054,0.05977676203707122,0.03864855741742192,0.013800459263648061,0.04757334092085798
AE+LR,1,0.7640918580375783,0.4397905759162304,0.7103594080338267,0.5432497978981407,0.8254235479691038,0.5897380718802756,,,,,,
