rule,overall,mar22,lift
global-p95,0.050010911471593804,0.025619128949615714,0.512270786429625
dynamic,0.04528260711427948,0.01964133219470538,0.4337500300090199
per-line,0.03397104822870445,0.06746370623398805,1.9859177079199863
per-hour,0.06892412890085109,0.07685738684884715,1.1151013161067038
