rule,overall,mar22,lift
global-p95,0.05003317850033179,0.045933014354066985,0.918051095909535
dynamic,0.04260119442601194,0.024880382775119617,0.5840301688801443
per-line,0.03490378234903782,0.09760765550239234,2.7964778867320392
per-hour,0.06710904667109047,0.09952153110047847,1.4829823404919682
