feature,auc_alone,r_pointbiserial
load_ratio,0.5173678499090761,0.02488889741110976
line_share,0.5091432635018258,0.020065068098715423
riders,0.5015085616286462,-0.006225047840496527
boardings,0.501000434660477,-0.006273426272246061
has_demand,0.49191120507399577,-0.018796514918350306
cash_share,0.4891974275196263,-0.007073251186984121
free_share,0.4795207143807566,-0.018841286109790797
net_boardings,0.4781624743121572,-0.029046153098154642
transfer_share,0.4597151347595322,-0.05592412847914145
