base,alt,metric,base_mean,base_sd,alt_mean,alt_sd,mean_delta,sd_delta,t,p,folds_improved
RAW-STATS,RAW-STATS+DEMAND,roc_auc,0.8459264491624197,0.012586255628668526,0.8488602430542429,0.014557725850741837,0.002933793891823222,0.0032006004701086105,2.0496661908781677,0.1097318830666625,4
RAW-STATS,RAW-STATS+DEMAND,pr_auc,0.6369707895150343,0.05282758924472048,0.6466876202123959,0.05368864033518557,0.0097168306973618,0.005099743980751678,4.2605068111586135,0.013048336231392297,5
RAW-STATS,RAW-STATS+DEMAND,f1,0.5874277419139703,0.039046888161761203,0.5905504425299503,0.044808087994406096,0.0031227006159800117,0.009468779802695233,0.7374309041091254,0.5017787964615851,2
RAW-STATS,RAW-STATS+LINEID,roc_auc,0.8459264491624197,0.012586255628668526,0.8510387468774271,0.012872451425723925,0.005112297715007453,0.0021177603464394516,5.397893690470204,0.005700197083760428,5
RAW-STATS,RAW-STATS+LINEID,pr_auc,0.6369707895150343,0.05282758924472048,0.649335889495922,0.05375432891116458,0.012365099980887884,0.0017817179894678158,15.51828306684227,0.0001006580313938933,5
RAW-STATS,RAW-STATS+LINEID,f1,0.5874277419139703,0.039046888161761203,0.5929438209822864,0.045521956412127425,0.005516079068316105,0.0069465179357576685,1.775613030886559,0.1504516475080657,4
RAW-STATS+LINEID,RAW-STATS+LINEID+DEMAND,roc_auc,0.8510387468774271,0.012872451425723925,0.8498214553319257,0.01343976869480157,-0.0012172915455014976,0.003373830475455286,-0.8067822802536664,0.4650275192176109,2
RAW-STATS+LINEID,RAW-STATS+LINEID+DEMAND,pr_auc,0.649335889495922,0.05375432891116458,0.6475099940024542,0.0529491440831558,-0.001825895493467833,0.006572779735310692,-0.6211719557968125,0.5681334955530544,2
RAW-STATS+LINEID,RAW-STATS+LINEID+DEMAND,f1,0.5929438209822864,0.045521956412127425,0.590134061098807,0.04722371220869424,-0.0028097598834794903,0.011374774753593614,-0.5523462429818322,0.6101211817550125,2
