fold,split,epoch,mse
1,train,1,0.5269712775838845
1,train,2,0.44231956246505927
1,train,3,0.41356152979703786
1,train,4,0.3980454509830817
1,train,5,0.3854461190521076
1,train,6,0.3791064385017614
1,train,7,0.37312902547552596
1,train,8,0.3687685970550797
1,train,9,0.3645950838870045
1,train,10,0.3629943779719773
1,train,11,0.35825587387153324
1,train,12,0.3554704551414777
1,train,13,0.35292623248151556
1,train,14,0.3519398104332681
1,train,15,0.3489428691325649
1,train,16,0.3466647726660561
1,train,17,0.34640015421375153
1,train,18,0.343789313001872
1,train,19,0.34367447856506567
1,train,20,0.3409044669947744
2,train,1,0.5347807480835579
2,train,2,0.4504997195072577
2,train,3,0.4205538583263545
2,train,4,0.40054696703880605
2,train,5,0.39065223974241337
2,train,6,0.3824696951139141
2,train,7,0.37895286020258784
2,train,8,0.374758657540234
2,train,9,0.371057851843431
2,train,10,0.3697758419832713
2,train,11,0.3668006438184792
2,train,12,0.36309617495452856
2,train,13,0.3627673273145313
2,train,14,0.35866068345560154
2,train,15,0.3569522144299158
2,train,16,0.35582237145010853
2,train,17,0.35418151864703273
2,train,18,0.3528508227056181
2,train,19,0.350443867205734
2,train,20,0.3489727350607724
3,train,1,0.5285658733525747
3,train,2,0.43650911307670703
3,train,3,0.40858378250833965
3,train,4,0.3910224660181663
3,train,5,0.3830033866032748
3,train,6,0.37447053372440203
3,train,7,0.36912834444935894
3,train,8,0.3654291957197055
3,train,9,0.36023048762704285
3,train,10,0.357266419160534
3,train,11,0.3530755855248008
3,train,12,0.34979769629491886
3,train,13,0.3503445288245107
3,train,14,0.3475504668665604
3,train,15,0.3460858147329008
3,train,16,0.343405018180189
3,train,17,0.3416650037110691
3,train,18,0.3400983656166305
3,train,19,0.33852566652734517
3,train,20,0.33696970333096005
4,train,1,0.5231209507500622
4,train,2,0.4334878816571034
4,train,3,0.40659194523599784
4,train,4,0.3895255814135914
4,train,5,0.3802125538948556
4,train,6,0.37273895950384545
4,train,7,0.3678616536125331
4,train,8,0.36156945004009866
4,train,9,0.35964038296484613
4,train,10,0.35544258607944973
4,train,11,0.3526983677711285
4,train,12,0.35155812986719776
4,train,13,0.3490175645745976
4,train,14,0.34775770675968115
4,train,15,0.3444983866852774
4,train,16,0.34267430028445284
4,train,17,0.34260744758894746
4,train,18,0.3397023961157866
4,train,19,0.33919164706283894
4,train,20,0.33647921859798297
5,train,1,0.530891130402894
5,train,2,0.4408368493469668
5,train,3,0.41336187510423256
5,train,4,0.39670805675043186
5,train,5,0.3872249984825161
5,train,6,0.37738474280061857
5,train,7,0.37292314142408506
5,train,8,0.367687340878265
5,train,9,0.363712324747737
5,train,10,0.36014448232214213
5,train,11,0.3579707001926194
5,train,12,0.3545692518983089
5,train,13,0.3543217499071444
5,train,14,0.35159876218564073
5,train,15,0.3482539109151128
5,train,16,0.346892527081597
5,train,17,0.34596823082423545
5,train,18,0.34415221371701066
5,train,19,0.34288152034433794
5,train,20,0.3415253742689818
1,val,1,0.43005138635635376
1,val,2,0.392005980014801
1,val,3,0.36364665627479553
1,val,4,0.3554641604423523
1,val,5,0.3499453365802765
1,val,6,0.3434792160987854
1,val,7,0.3328973352909088
1,val,8,0.32898393273353577
1,val,9,0.32563474774360657
1,val,10,0.32585421204566956
1,val,11,0.32364529371261597
1,val,12,0.31815043091773987
1,val,13,0.3189662992954254
1,val,14,0.3171194791793823
1,val,15,0.31370753049850464
1,val,16,0.31192031502723694
1,val,17,0.3088216483592987
1,val,18,0.3087531626224518
1,val,19,0.3085625171661377
1,val,20,0.3055477738380432
2,val,1,0.48838526010513306
2,val,2,0.4240361452102661
2,val,3,0.40142688155174255
2,val,4,0.3953360915184021
2,val,5,0.39333921670913696
2,val,6,0.36872437596321106
2,val,7,0.36950430274009705
2,val,8,0.35904037952423096
2,val,9,0.3552091419696808
2,val,10,0.35343602299690247
2,val,11,0.34819871187210083
2,val,12,0.346271812915802
2,val,13,0.35291966795921326
2,val,14,0.3426130712032318
2,val,15,0.3438255190849304
2,val,16,0.34946900606155396
2,val,17,0.3500880300998688
2,val,18,0.33451536297798157
2,val,19,0.33453232049942017
2,val,20,0.3314557373523712
3,val,1,0.4487670361995697
3,val,2,0.4275816082954407
3,val,3,0.3933592736721039
3,val,4,0.3787388801574707
3,val,5,0.3716262876987457
3,val,6,0.36736610531806946
3,val,7,0.36376872658729553
3,val,8,0.3646031618118286
3,val,9,0.35716429352760315
3,val,10,0.3590890169143677
3,val,11,0.36016011238098145
