trip_instance_id,recon_mse,y
2026-03-20_1348037_U_29,0.39298370480537415,0
2026-03-20_1348037_U_30,0.25176531076431274,0
2026-03-20_1348037_U_33,0.32845595479011536,0
2026-03-20_1348037_U_39,0.5377606749534607,0
2026-03-20_1348037_U_41,0.35053253173828125,0
2026-03-20_1348037_U_42,0.33477622270584106,0
2026-03-20_1348037_U_46,0.4671485126018524,0
2026-03-20_1348037_U_48,0.30298879742622375,0
2026-03-20_1348037_U_49,0.802487313747406,0
2026-03-20_1348037_U_50,0.41205865144729614,0
2026-03-20_1348037_U_52,0.46238264441490173,0
2026-03-20_1349260_U_20,0.19097720086574554,0
2026-03-20_1349260_U_21,0.2536582350730896,0
2026-03-20_1349260_U_22,0.8986846804618835,0
2026-03-20_1349260_U_24,0.1618569940328598,0
2026-03-20_1349260_U_25,0.21026666462421417,0
2026-03-20_1349260_U_26,1.4003087282180786,1
2026-03-20_1349260_U_28,0.1779908388853073,0
2026-03-20_1349260_U_29,0.10107117891311646,0
2026-03-20_1349260_U_30,0.3403952419757843,1
2026-03-20_1349260_U_32,0.1444423943758011,0
2026-03-20_1349260_U_33,0.13009987771511078,0
2026-03-20_1349260_U_34,0.13001276552677155,0
2026-03-20_1349260_U_36,1.2040464878082275,0
2026-03-20_1359254_U_14,0.20250779390335083,1
2026-03-20_1359254_U_29,0.3702070415019989,0
2026-03-20_1359254_U_30,0.1727534979581833,1
2026-03-20_1359254_U_41,0.16574205458164215,1
2026-03-20_1359254_U_42,0.5524391531944275,1
2026-03-20_1359254_U_48,0.1854471117258072,0
2026-03-20_1359254_U_59,0.14249500632286072,1
2026-03-20_1359254_U_68,0.2521872818470001,0
2026-03-20_1359254_U_69,0.2768537700176239,1
2026-03-20_1359254_U_70,0.16908390820026398,1
2026-03-20_1359254_U_73,0.2757122814655304,1
2026-03-20_1359254_U_74,0.2593528628349304,0
2026-03-20_1359254_U_75,0.28632402420043945,1
2026-03-20_1359254_U_77,0.15955401957035065,0
2026-03-20_1359254_U_78,0.23072217404842377,1
2026-03-20_1359254_U_8,0.16678887605667114,1
2026-03-20_1359254_U_9,0.39640936255455017,0
2026-03-20_1390072_U_11,0.1957055777311325,0
2026-03-20_1390072_U_16,0.34789785742759705,1
2026-03-20_1390072_U_20,0.13666005432605743,0
2026-03-20_1390072_U_21,0.2448582798242569,0
2026-03-20_1390072_U_22,0.14016126096248627,0
2026-03-20_1390072_U_23,0.16017571091651917,1
2026-03-20_1390072_U_25,0.17540358006954193,0
2026-03-20_1390072_U_26,0.12997271120548248,0
2026-03-20_1390072_U_27,0.16376741230487823,0
2026-03-20_1390072_U_28,0.2997455894947052,0
2026-03-20_1390072_U_9,0.23228465020656586,1
2026-03-20_1407494_U_25,0.44600290060043335,1
2026-03-20_1407494_U_31,0.5554739236831665,1
2026-03-20_1407494_U_32,0.3203944265842438,0
2026-03-20_1407494_U_37,0.3268568813800812,0
2026-03-20_1407495_U_10,0.3372848927974701,0
2026-03-20_1407495_U_11,0.20626883208751678,0
2026-03-20_1407495_U_19,0.20645838975906372,0
2026-03-20_1407495_U_20,0.17100714147090912,0
2026-03-20_1407495_U_21,0.1962970495223999,1
2026-03-20_1407495_U_22,0.4813765287399292,0
2026-03-20_1407495_U_23,0.37609362602233887,1
2026-03-20_1407495_U_24,0.22919948399066925,0
2026-03-20_1407495_U_26,0.30812010169029236,1
2026-03-20_1407495_U_27,0.4151475429534912,1
2026-03-20_1429985_U_104,0.1453503668308258,0
2026-03-20_1429985_U_117,0.17321451008319855,1
2026-03-20_1429985_U_118,0.24261856079101562,0
2026-03-20_1429985_U_33,0.15780222415924072,0
2026-03-20_1429985_U_38,0.16046428680419922,0
2026-03-20_1429985_U_73,0.14649078249931335,1
2026-03-20_1429985_U_99,0.14032405614852905,1
2026-03-20_1431265_U_100,0.16445399820804596,0
2026-03-20_1431265_U_101,0.12457791715860367,0
2026-03-20_1431265_U_102,0.19670896232128143,0
2026-03-20_1431265_U_105,0.15846353769302368,0
2026-03-20_1431265_U_117,0.1698734015226364,0
2026-03-20_1431265_U_118,0.1906844824552536,0
2026-03-20_1431265_U_119,0.20131097733974457,1
2026-03-20_1431265_U_121,0.16107963025569916,0
2026-03-20_1431265_U_124,0.1469355970621109,1
2026-03-20_1431265_U_125,0.23554690182209015,1
2026-03-20_1431265_U_130,0.12816736102104187,1
2026-03-20_1431265_U_133,0.10581447184085846,0
2026-03-20_1431265_U_135,0.12211943417787552,1
2026-03-20_1431265_U_137,0.08724436908960342,0
2026-03-20_1431265_U_138,0.19711630046367645,1
2026-03-20_1431265_U_142,0.08675780147314072,0
2026-03-20_1431265_U_143,0.16877807676792145,0
2026-03-20_1431265_U_144,0.11825980991125107,1
2026-03-20_1431265_U_145,0.10557319223880768,1
2026-03-20_1431265_U_148,0.10440165549516678,0
2026-03-20_1431265_U_149,0.25693219900131226,0
2026-03-20_1431265_U_150,0.19017980992794037,0
2026-03-20_1431265_U_152,0.13737435638904572,1
2026-03-20_1431265_U_155,0.17712260782718658,0
2026-03-20_1431265_U_157,0.13722103834152222,1
2026-03-20_1431265_U_160,0.13694478571414948,0
2026-03-20_1431265_U_161,0.15035727620124817,1
2026-03-20_1431265_U_164,0.24483492970466614,0
2026-03-20_1431265_U_165,0.2546460032463074,1
2026-03-20_1431265_U_166,0.43635642528533936,1
2026-03-20_1431265_U_167,0.15077826380729675,0
2026-03-20_1431265_U_168,0.19304895401000977,0
2026-03-20_1431265_U_169,0.14199478924274445,0
2026-03-20_1431265_U_170,0.2508166432380676,0
2026-03-20_1431265_U_171,0.4710419476032257,1
2026-03-20_1431265_U_172,0.323257714509964,0
2026-03-20_1431265_U_46,0.17952026426792145,0
2026-03-20_1431265_U_47,0.1844526082277298,1
2026-03-20_1431265_U_57,0.1735038310289383,1
2026-03-20_1431265_U_58,0.146889790892601,0
2026-03-20_1431265_U_59,0.15444201231002808,0
2026-03-20_1431265_U_60,0.1410433053970337,1
2026-03-20_1431265_U_70,0.2572910487651825,0
2026-03-20_1431265_U_71,0.23624296486377716,0
2026-03-20_1431265_U_72,0.21548224985599518,0
2026-03-20_1431265_U_78,0.20058096945285797,1
