trip_instance_id,recon_mse,split,y
2026-03-11_1379485_U_92,0.15752345,history,1
2026-03-11_1379485_U_95,0.47607467,history,1
2026-03-11_1379485_U_97,0.12035202,history,0
2026-03-11_1379485_U_99,0.3945676,history,1
2026-03-11_1386441_U_1,0.31226632,history,0
2026-03-11_1386441_U_10,0.27212846,history,0
2026-03-11_1386441_U_11,0.17232852,history,0
2026-03-11_1386441_U_13,0.27113307,history,0
2026-03-11_1386441_U_14,0.22263417,history,0
2026-03-11_1386441_U_15,0.20747706,history,1
2026-03-11_1386441_U_16,0.16146919,history,0
2026-03-11_1386441_U_17,0.17516236,history,0
2026-03-11_1386441_U_18,0.1616688,history,0
2026-03-11_1386441_U_19,0.25334698,history,0
2026-03-11_1386441_U_2,0.30539238,history,0
