fold,feature,beta,se,wald_z,p
1,mean(speed_mps),-0.57903653,0.061890655699611496,-9.355798985923247,0.0
1,mean(accel),-0.070374735,0.05150495135849612,-1.366368336315636,0.17182338193917213
1,mean(heading_change),-0.26710856,0.028935438644163612,-9.231190959060726,0.0
1,mean(progress_frac),-1.827891,0.05297834723540292,-34.50260507453352,0.0
1,mean(progress_rate),0.16965427,0.0536468003767075,3.162430263404499,0.0015645820450782555
1,mean(cross_track_m),0.21780232,0.06091662617364124,3.575416592008131,0.00034967064600732733
1,mean(dwell_frac),-0.20632432,0.0416676722813687,-4.951664269089939,7.358146936198295e-07
1,mean(tod_sin),-0.07311598,12.839562310595355,-0.005694585247265988,0.9954564029078998
1,mean(tod_cos),0.08454578,11.804349690747838,0.007162256787836874,0.9942853947464172
1,mean(is_weekend),0.03726679,70.83547883652265,0.000526103465085029,0.9995802301871881
1,mean(rain_mm),-0.00197547,0.04344132938009502,-0.045474436852921754,0.9637291502503746
1,mean(headway_min),0.111043334,51063.76483227487,2.174601390477151e-06,0.9999982649191246
1,std(speed_mps),0.1580739,0.19930581692008262,0.793122371302947,0.4277065299687446
1,std(accel),0.21677753,0.17532130376584568,1.2364585970812338,0.2162881465225599
1,std(heading_change),0.23583713,0.06500954045725385,3.6277311003872463,0.0002859228157001681
1,std(progress_frac),0.054688603,0.04813879250716612,1.1360609570293478,0.255931053673486
1,std(progress_rate),-0.17392182,0.1912687536125906,-0.9093059907414914,0.3631886292382924
1,std(cross_track_m),-0.40425125,0.08750332794724175,-4.6198385493196215,3.840387640341447e-06
1,std(dwell_frac),-0.02711954,0.04171619821757037,-0.6500961457862271,0.5156301186894992
1,std(tod_sin),0.20096472,3.8771619323575113,0.051832944448334244,0.9586618049507258
1,std(tod_cos),0.0038857958,4.831418253224217,0.0008042764307068315,0.9993582803225052
1,std(is_weekend),-0.032554235,0.1170686106951141,-0.27807825783586476,0.7809522854980426
1,std(rain_mm),-0.01144568,0.0879742872855255,-0.13010255672452475,0.8964852873418494
1,std(headway_min),0.02315113,0.01993236504720737,1.1614843210700796,0.2454449956960003
1,min(speed_mps),-0.055118915,0.03772367179947211,-1.4611227397637707,0.14398176073342572
1,min(accel),0.23215958,0.14013296593273553,1.6567092776164003,0.09757826638898703
1,min(heading_change),-0.019251283,0.018943090306969484,-1.016269412552862,0.30950111010771164
1,min(progress_frac),0.602862,0.04655163342279685,12.950394135260673,0.0
1,min(progress_rate),-0.014639586,0.03730328748923608,-0.39244761509223897,0.6947275101788042
1,min(cross_track_m),0.024588946,0.019210555388014944,1.2799706076380184,0.20055547324598777
1,min(dwell_frac),0.16020747,0.027685280787303562,5.786737960934614,7.1766397269357185e-09
1,min(tod_sin),-0.09679285,35.072167979312425,-0.002759819323835357,0.9977979855662182
1,min(tod_cos),0.038641512,30.787629010212818,0.0012550986755470296,0.9989985764074161
1,min(is_weekend),0.037265558,30.323873337411335,0.001228918132624817,0.999019465442295
1,min(rain_mm),0.045947567,0.027419390515112062,1.6757326025584829,0.09379058078188018
1,min(headway_min),0.111044265,25624.860711029483,4.333458299815928e-06,0.9999965424005277
1,max(speed_mps),-0.2687987,0.24166796987344272,-1.112264521676065,0.2660244333548327
1,max(accel),0.24280019,0.10851576181216617,2.2374647423576954,0.025255981206060207
1,max(heading_change),-0.14679797,0.05210132942835988,-2.817547489631219,0.0048391957720756995
1,max(progress_frac),0.112074964,0.04650468793170294,2.4099713111299446,0.01595377497803141
1,max(progress_rate),-0.066968806,0.1863768196793551,-0.3593193949933509,0.7193561667433817
1,max(cross_track_m),0.5233925,0.05244985586500733,9.978912045826675,0.0
1,max(dwell_frac),0.039664887,0.020783408097845582,1.9084880932474964,0.05632816063944879
1,max(tod_sin),-0.07423878,34.640014822199234,-0.002143150848569159,0.9982900143354765
1,max(tod_cos),0.019977786,36.03069242963055,0.0005544657707018229,0.9995576003447313
1,max(is_weekend),0.037265558,39.96827867503806,0.0009323783518112075,0.9992560698160498
1,max(rain_mm),-0.091423795,0.09700838801156929,-0.9424318504940663,0.3459715868708382
1,max(headway_min),0.111044265,25438.825659594604,4.365149036978282e-06,0.9999965171149778
2,mean(speed_mps),-0.5945051,0.06168938611490664,-9.637072259604773,0.0
2,mean(accel),-0.06858252,0.05124728082805984,-1.3382665144513644,0.1808095733858246
2,mean(heading_change),-0.25917304,0.029820908278372082,-8.69098396340969,0.0
2,mean(progress_frac),-1.8149585,0.052118103970571455,-34.82395396047454,0.0
2,mean(progress_rate),0.19703901,0.05275449767160021,3.735018184935494,0.00018770162332581997
2,mean(cross_track_m),0.20690475,0.05984531825513076,3.4573256534547165,0.0005455651324584032
2,mean(dwell_frac),-0.20180263,0.039346658804413535,-5.128837679847369,2.915365773237255e-07
2,mean(tod_sin),-0.08395567,12.957031835259501,-0.0064795447738651485,0.9948301074398203
2,mean(tod_cos),0.09021102,11.567544071987399,0.007798631961853055,0.9937776550347652
2,mean(is_weekend),0.0071461583,29.35591126437733,0.00024343166155800375,0.9998057696375506
2,mean(rain_mm),-0.005776876,0.043026084165368975,-0.13426451024060057,0.8931934158214814
2,mean(headway_min),0.096838556,54277.081719287,1.7841518586224443e-06,0.9999985764527779
2,std(speed_mps),0.19532667,0.20547998092668085,0.9505873522247971,0.3418138915782025
2,std(accel),0.043222547,0.17804226207693505,0.2427656561607627,0.8081869421770904
2,std(heading_change),0.1532844,0.061669804251523616,2.485566519334878,0.012934541147945344
2,std(progress_frac),0.057766918,0.048789833227063005,1.1839949897783955,0.23641504612148267
2,std(progress_rate),-0.0378339,0.19555358298957168,-0.19347075456850532,0.8465903078142973
2,std(cross_track_m),-0.37938082,0.08564991787697522,-4.429435912905743,9.447988306821031e-06
2,std(dwell_frac),-0.0911698,0.03761650913500494,-2.423664475532624,0.015364793850591196
2,std(tod_sin),0.2078332,3.8323682170222573,0.054231010415438756,0.9567511142911937
2,std(tod_cos),-0.025283664,4.815116267912068,-0.005250893863859713,0.9958104121080942
2,std(is_weekend),0.08009136,0.021241474854885128,3.7705177149090794,0.00016290923732587004
2,std(rain_mm),-0.009937128,0.08702142200789424,-0.1141917452373277,0.9090857954520364
2,std(headway_min),0.05273192,0.01787871984096961,2.9494237005077157,0.003183671738503424
2,min(speed_mps),-0.011162666,0.040521158048326934,-0.2754774594370499,0.7829494409016688
2,min(accel),0.39309168,0.14115324801667153,2.7848574803815844,0.005355125502222835
2,min(heading_change),-0.013807988,0.018755180983425688,-0.7362225833215065,0.46159525081333563
2,min(progress_frac),0.6582496,0.04631407414353725,14.212734007871303,0.0
2,min(progress_rate),-0.054909647,0.04095881235454866,-1.34060641299283,0.18004827402601054
2,min(cross_track_m),0.0027349745,0.01912085445444228,0.14303620682107507,0.8862615862728269
2,min(dwell_frac),0.08964034,0.025789226441990328,3.4758833073476723,0.0005091737859825862
2,min(tod_sin),-0.09819463,34.85597921012654,-0.0028171530732783345,0.997752240030582
2,min(tod_cos),0.07052984,30.99585824696754,0.0022754601703436654,0.9981844470280983
2,min(is_weekend),0.007146916,15.680686889824427,0.00045577824088745413,0.9996363415910368
2,min(rain_mm),0.063988134,0.02808067913727973,2.2787245975114523,0.022683441607758592
2,min(headway_min),0.09683465,27141.11421499353,3.5678215477366505e-06,0.9999971532902714
2,max(speed_mps),-0.034417327,0.24681812950319895,-0.139444082015795,0.8890992401932647
2,max(accel),0.3566841,0.11062742481371728,3.224192276983592,0.0012632854686482897
2,max(heading_change),-0.116588466,0.04971735036637197,-2.345025730660927,0.019025766553537382
2,max(progress_frac),0.09292236,0.04647637344266513,1.9993461800457295,0.04557091081413778
2,max(progress_rate),-0.25895584,0.18932450460418832,-1.3677882682829046,0.17137836096362524
2,max(cross_track_m),0.49685818,0.05179611433185553,9.592576315394913,0.0
2,max(dwell_frac),0.03842702,0.021501719474073654,1.787160389696806,0.07391156928474807
2,max(tod_sin),-0.07650026,34.62867689652656,-0.002209159176609569,0.9982373474343644
2,max(tod_cos),0.06044434,35.75366687286186,0.0016905773700012926,0.9986511150601638
2,max(is_weekend),0.007146916,10.285103568241558,0.0006948803032591191,0.9994455657790424
2,max(rain_mm),-0.08622912,0.09584280034458435,-0.8996932775870902,0.36828350184245395
2,max(headway_min),0.09683465,27135.969492931876,3.5684979728127278e-06,0.9999971527505622
3,mean(speed_mps),-0.6440407,0.06262611276329291,-10.283900362900866,0.0
3,mean(accel),-0.11367989,0.052420630537613866,-2.168609803982968,0.030112320224382483
3,mean(heading_change),-0.2382797,0.028570342023086375,-8.340106677291192,0.0
3,mean(progress_frac),-1.8841286,0.05263455295011815,-35.79642012619034,0.0
3,mean(progress_rate),0.17357138,0.05608984523563399,3.0945241025974477,0.0019712891697536428
3,mean(cross_track_m),0.2961587,0.06082591696477436,4.8689557997608786,1.121894958266978e-06
3,mean(dwell_frac),-0.19405977,0.04242335061050142,-4.574362267169843,4.7767271702525704e-06
3,mean(tod_sin),-0.06506938,12.827909286907518,-0.005072484998685185,0.9959527598906373
