dim,point_biserial_r,p,probe_roc_auc
62,-0.14678428891220865,4.483847745733369e-109,0.6059860790372419
40,0.10983331159280559,1.2984246844004845e-61,0.5742141900382915
57,0.10633200926308858,7.69321530414115e-58,0.571272857375183
52,-0.08055318096685779,7.308567826506558e-34,0.5630488505152353
50,-0.0876219187649979,8.940246708589817e-40,0.5579738848888954
4,-0.08330569626283897,4.175954302182718e-36,0.5573438282647585
60,0.07210689217338817,1.8927556180934773e-27,0.554959671195612
30,0.07766795257512658,1.3619974994280349e-31,0.552205295761321
44,-0.08464073081470522,3.2035799372908657e-37,0.5516053992519109
3,0.05977702961961141,2.3623454219679874e-19,0.5505086946879758
31,0.07203435886643202,2.133573590598178e-27,0.5479936368071674
20,-0.053864543696526684,5.320405311835094e-16,0.542727130797321
12,-0.07215212877003588,1.756424055964922e-27,0.5427084019574506
58,0.05573045280536834,5.0680823298023886e-17,0.5424072147725425
34,-0.044919719326040164,1.4117159010425056e-11,0.5413070743210278
61,0.0625015924613726,5.165276829298917e-21,0.5397211786099736
46,-0.05478469698238405,1.6852003720723505e-16,0.5394201510962611
21,-0.038775943382931416,5.4826698082023585e-09,0.539294631795266
11,-0.050560160608192316,2.82395107955158e-14,0.5378303404840403
55,-0.04779729488470601,6.478386368379933e-13,0.5376462691642395
14,-0.06180181517561071,1.401101102161383e-20,0.5374084714439895
56,0.043104721746098015,8.96591781475415e-11,0.5366106890994841
38,0.04017592057657685,1.5170790422606945e-09,0.5344822306657402
23,-0.03949268654383707,2.8554753514877483e-09,0.5313481866970239
6,-0.04324194846773926,7.816408738431936e-11,0.5311824006859948
15,-0.02926633223334085,1.0781254023311707e-05,0.5282075429855557
32,-0.05016722165879186,4.455483466796057e-14,0.5279179467466995
36,0.03012798057962004,5.8842173078714585e-06,0.526926347225713
29,-0.044828992382400124,1.551088404847718e-11,0.5262151835479532
39,-0.0408323047005754,8.182720432992416e-10,0.5247157054362128
28,0.03934857790082127,3.2586555024827245e-09,0.5242569937462115
1,0.04234254664998062,1.9065112259311205e-10,0.5237311728440692
16,-0.035818671892462045,7.174177858337005e-08,0.5235239314596608
8,-0.054499214960994434,2.412374146773204e-16,0.5233237865728352
53,-0.012989390650145708,0.05082860405774818,0.5230413459690415
33,-0.05488354288497477,1.4877289032630408e-16,0.5229055130915596
10,-0.030652324064623218,4.0384709861624405e-06,0.5227841511553986
19,0.03615174555992012,5.4222614439401966e-08,0.5224877304513668
42,-0.041077575009924185,6.481081601503549e-10,0.5204956667011635
22,-0.018358602164706483,0.005775036884463903,0.5180063158828487
13,-0.009376441271003434,0.15862912569647475,0.5172286580227383
54,-0.016824931759110776,0.011417284777203034,0.5150853501678025
47,-0.02300966598573167,0.0005406558105948442,0.5127249900205503
9,0.03273086723442619,8.561207411373627e-07,0.5110569227812357
27,0.021637323703443463,0.001140474048517321,0.5094590280755186
63,-0.05401294054730828,4.4256901298902665e-16,0.5094154200978726
5,-0.010386342359869325,0.11839684077244059,0.5083520395038366
7,-0.007481525529227781,0.26067470457033176,0.5053908366474963
24,0.011767549996056781,0.0768588758279519,0.504878215230858
49,0.024481190849204706,0.00023224340098792326,0.5047298156389066
26,0.021722884808003773,0.0010898905276078836,0.5046862431437484
45,0.002955580393808171,0.6567919385657746,0.5043595795325182
48,-0.01759081521828175,0.008173190237670233,0.5036132645367317
59,-0.0002943800273882322,0.9646991719580607,0.5026414819852452
51,-0.005114928981139078,0.44189925180824996,0.5019289758866926
41,-0.005699191719979594,0.3915384414741736,0.5017995121157912
25,0.004852670294839871,0.4656585983854267,0.5015890477387306
0,-0.0007371582620001003,0.9117548581800736,0.5013925338931682
35,0.0006044731797288745,0.9275901042609248,0.5008100297165836
43,-0.004543324817496809,0.49457348782706323,0.499498360413371
17,0.0016449272652516427,0.8046755671581697,0.499213158089268
37,0.012940419910263682,0.05170752860234457,0.49906462839486093
18,0.008731299753925828,0.1892841294951946,0.495013580922249
2,8.835149858012767e-05,0.989402108939434,0.4842222623042919
